CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE_DE_MEDIDA,PRECO_VENDA,DATA_DA_COLETA
1550635000125,IRMAOS RIBEIRO BENIA LTDA,,AV. GENERAL DALTRO FILHO,745,,CENTRO,97574270,SANTANA DO LIVRAMENTO,RIO GRANDE DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,130.0,2026-06-10
1550635000206,IRMAOS RIBEIRO BENIA LTDA,,AVENIDA PAUL HARRIS,262,,CENTRO,97574360,SANTANA DO LIVRAMENTO,RIO GRANDE DO SUL,BRANCA,GLP,R$ / 13 kg,130.0,2026-06-10
1582488000175,LILICO GAS LTDA,,RUA BELMIRO BRAGA,740,,CAICARA ADELAIDE,30720520,BELO HORIZONTE,MINAS GERAIS,ULTRAGAZ,GLP,R$ / 13 kg,145.0,2026-06-08
1618054000188,ELIANE DO CARMO SOUZA,DISK GÁS,RUA GENERAL OSORIO,240,,VILA MARIA,75905370,RIO VERDE,GOIAS,BRANCA,GLP,R$ / 13 kg,130.0,2026-06-08
1711224000174,MARIA PENHA VIEIRA DE RESENDE,PENHA GÁS,RUA ALEXANDRINA NOGUEIRA DE QUEIROZ,860,A,SAO JOAO,36400001,CONSELHEIRO LAFAIETE,MINAS GERAIS,BRANCA,GLP,R$ / 13 kg,95.0,2026-06-10
1770932000186,LIRA GAS REVENDA DE GLP LTDA,,RUA LEOPOLDO BULHOES,1330,,SANTOS DUMONT,75503970,ITUMBIARA,GOIAS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,115.0,2026-06-08
1832397000140,FERNANDO ALVES DE FREITAS EIRELI -  ME,,AVENIDA BRASILIA,313,QD. 30 LT. 08,VILA JARDIM SAO JUDAS TADEU,74685110,GOIANIA,GOIAS,BRANCA,GLP,R$ / 13 kg,120.0,2026-06-08
1840071000165,FABIO JOSE  DOS SANTOS LIMEIRA ME,,AVENIDA ARMANDO PACHECO BARROS,410,,JD. SÃO JOÃO,13482117,LIMEIRA,SAO PAULO,BRANCA,GLP,R$ / 13 kg,99.99,2026-06-08
1848718000103,JEANA PIMENTA DE OLIVEIRA EPP,,AV. JOSE ANANIAS AGUIAR,270,,SAO DOMINGOS,38180500,ARAXA,MINAS GERAIS,BRANCA,GLP,R$ / 13 kg,108.0,2026-06-09
1872282000180,PIRAPO COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA.,PIRAPO,AVENIDA NATALINO JOAO BRESCANSIN,2102,,CENTRO,78890000,SORRISO,MATO GROSSO,BRANCA,GLP,R$ / 13 kg,135.0,2026-06-08
1876795000169,LORD GAS LTDA - ME,,AVENIDA PRESIDENTE TANCREDO NEVES,2121,,ZACARIAS,35300102,CARATINGA,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,125.0,2026-06-09
1894827000159,NOVA MARILIA COMERCIO DE GAS LTDA,NOVA MARILIA COMERCIO DE GAS LTDA,AVENIDA DUARTE DA COSTA,190,,JARDIM MONTE CASTELO,17522260,MARILIA,SAO PAULO,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,135.0,2026-06-09
1898138000112,MAISGAS COMERCIO E TRANSPORTE LTDA,,AVENIDA SENADOR SALGADO FILHO,11343,,DOM FELICIANO,94430000,VIAMAO,RIO GRANDE DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,106.0,2026-06-11
1933444000142,ADMENILDES SOARES DE SOUZA,,RUA GB 39,426,QUADRA 57 - LOTE 18,JD. GUANABARA III,74683380,GOIANIA,GOIAS,BRANCA,GLP,R$ / 13 kg,115.0,2026-06-08
1949949000448,RIT COMERCIO DE GAS GLP LTDA,,RUA JERONIMO VILELA,773,,CAMPO GRANDE,52040180,RECIFE,PERNAMBUCO,LIQUIGÁS,GLP,R$ / 13 kg,99.99,2026-06-11
1960255000169,DISTRIBUIDORA DE GÁS E ÁGUA JARDIM ELLEN LTDA.- ME,,AVENIDA NOSSA SENHORA DOS NAVEGANTES,478,,ELDORADO,9972260,DIADEMA,SAO PAULO,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,118.0,2026-06-10
1993515000100,FRANPESO COMERCIO DE GLP LTDA ME,FCO,ACESSO D E/SUL - CONJUNTO 12,S/N,LOTE 07,SAMAMBAIA,72314712,BRASILIA,DISTRITO FEDERAL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,110.0,2026-06-09
1998829000198,MURILO JOSE FERREIRA,MAX GÁS,RUA JORNALISTA RAFAEL MORORO,S?N,,RANGEL,58070130,JOAO PESSOA,PARAIBA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,105.0,2026-06-08
2021580000129,PAULO ROBERTO VIEIRA GAS,,RUA TIETE,511,,IGARA,92410290,CANOAS,RIO GRANDE DO SUL,COPA ENERGIA,GLP,R$ / 13 kg,115.0,2026-06-09
2024898000163,N B PEREIRA,,RUA DONA RACHEL SOUZA,236,,PETRÓPOLIS,69063000,MANAUS,AMAZONAS,AMAZONGÁS,GLP,R$ / 13 kg,135.0,2026-06-08
2078194000173,SERVEGAS COMERCIO DE GLP LTDA,SERVEGAS,RUA ANCHIETA,117,QUADRA07                  LOTE  12,SETOR PAUSANES,75904233,RIO VERDE,GOIAS,CONSIGAZ,GLP,R$ / 13 kg,120.0,2026-06-08
2093138000108,RESIDENCE - COM.E TRANSPORTE DE GAS LTDA,  RESIDENNSE GAS,AV. PARA,2641,,CENTRO,77402030,GURUPI,TOCANTINS,BRANCA,GLP,R$ / 13 kg,145.0,2026-06-08
2117795000148,DOMINGOS DIAS LOPES - CPF 604282366-34,,RUA RIO GRANDE DO SUL,372,A,VILA RICA,34585260,SABARA,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,120.0,2026-06-08
